s_no,experience,job_description,job_desig,job_type,key_skills,location,salary,company_name_encoded
134,1-5 yrs,Tech.- 5 - 7 - years experience;Good knowledge of polymer and surfactant structure property relationship ...,Research Scientist,,"Analytical, Formulation, Six sigma, Procurement, MS Office, agrochemical...",Mumbai,6to10,1987
135,12-15 yrs,"With this envisioned expansion, CII is looking for technology solutions which can optimize and automate ...",Technology Architect,,"Java, Technical Architecture, ETL, Enterprise Architect...",Hyderabad,25to50,869
136,6-10 yrs,- Desired 2-4 years of relevant experience in Healthcare/ Lifesciences/ Pharmaceutical domain;- Must ...,Manager/ Senior Manager - Advance Analytics - Lifesciences/pharma,Analytics,"SAS SQL, Chaid, Logistic Regression, Anova, Excel, R, Time Series...",Delhi NCR,15to25,1988
137,4-6 yrs," Areas of Responsibility	Description of responsibility       Sales ...","Zonal Sales (planning & Analytics) Manager-west & North,mumbai & Delhi",Analytics,"Sales Planning, Business Development, Sales Development, Zonal...","Delhi, Mumbai",25to50,4308
138,14-20 yrs,"  At least 14 years of experience into BFS industry, specifically into Retail ...",Delivery Head Banking Business Analytics - Retail (14-18 Years),Analytics,"executive search, people management, account management, leadership hiring,...","Mumbai, Bengaluru",25to50,1054
139,2-3 yrs,Preferred : Should be proven sales experience which demands a rigorous time bound sales process ...,Team Leader - Sales - Automobile,,"Retail Sales, Marketing, Consumer Durables, Sales Planning, Sales Process...",Kolkata,10to15,3751
140,7-12 yrs,- Experience in Credit card/ banking domain with knowledge across customer lifecycle is must;- Candidate ...,Associate Vice President - Banking Analytics - KPO - Iim/xlri/fms/tiss,Analytics,"banking analytics, customer management, customer service orientation...","Delhi NCR, Gurgaon",25to50,1970
141,9-14 yrs,Organizational and project management skills; ability to multi-task and work on several assignments ...,Senior Product Manager,Analytics,"Product Manager, Speech Analytics, ML, AI, Deep Learning, NLP...",Chennai,15to25,1871
142,0-2 yrs, Should be comfortable working in both Day &Night shift;  NOTE-   CA/CA INTER/CS ...,Hurry!!wipro|hiring For Analyst Role |on The Spot Offer!call,,"DATAANALYST, ANALYST, BACKOFFICE, operations, Data Entry, Backend...",Delhi,0to3,4823
143,6-9 yrs,"Develop,  document,  and execute test plans to assess the integrity and accuracy of business processes, ...",Enterprise Solutions Architect,,"Presales, Biztalk, Stored procedures, Consulting, SDK, Microsoft Dynamics...",Bengaluru,10to15,4541
144,1-3 yrs,Individual must be able to effectively manage cross-functional partners that are internal and external ...,ACN - Digital - Analytics - Customer Analytics,Analytics,"Data analysis, SQL, Consulting, Data management, SPSS, FMCG, Analytical...",Bengaluru,3to6,190
145,2-4 yrs,"* 3+ years experience working with Android;* A description of your professional experience (resume, ...",Android Developer,Analytic,"Android, Kotlin",Delhi,0to3,2000
146,1-5 yrs,"Create, maintain & update vital information as required from time to time - regarding the client/plan ...",Sales Executive,,"Sales Executive Activities, Negotiation Skills, Analytical Instruments...","Kolkata, Mumbai",3to6,2769
147,12-20 yrs,Role in this level have responsibility to ensure that Projects are executed in an efficient and ...,HEAD OF Projects,,"safety, environment, occupational health, head of projects, health...",Qatar,10to15,3399
148,0-5 yrs,,Genpact Off Campus Drive for Any Graduate ,,"bpo, customer support, customer service, fresher, freshers, Backend...",Hyderabad,0to3,1631
149,9-14 yrs,,Business Analyst,,"Agile, Scrum Master, Business Analysis, Requirements",Bengaluru,10to15,1809
150,5-8 yrs,"3.	Good understanding of the science behind machine learning algorithms (supervised and unsupervised ...",Hiring Build Analytics Engineer,Analytics,"Cluster Analysis, Factor Analysis, SAS, Time Series Analysis, R...",Bengaluru(Whitefield),15to25,2816
151,5-7 yrs,"- Should be able to independently drive and set up HR processes, SOPs and HR Analytics for the ...",Manager - HR Analytics - Financial Services,Analytics,"HR Analytics, Investment Banking, Human Resource Management, Finance...",Mumbai,6to10,3859
152,1-3 yrs,Analytical skills: Ability to interpret data and analysis results to derive actionable insights rather ...,Junior Business Analyst/analyst,,"Use Cases, Neural Networks, Data Analysis, R, Time Series, Data Mining...",Mumbai,3to6,2701
153,4-6 yrs,"Good to have knowledge on Hadoop Ecosystem components or services, data ingestion, cluster planning and ...","Immediate Openings for Data Stack Hadoop Admin in TOP MNC, Bangalore",,"Hdfs, Mapreduce, Hadoop, Big Data, Access Management, Monitoring Tools...",Bengaluru,0to3,2031
154,1-3 yrs,Employee Engagement  and employee grievance activities experience is mandatory;Who can able to join us ...,Walk in for HR Operation- 27-oct-18,,"HR Executive, Onboarding, Joining Formalities, Exit Formalities",Bengaluru(4th Block Koramangala),0to3,459
155,8-12 yrs,Should possess strong analytical skills and have sound working knowledge of Excel;Should have 7-8 years ...,Warehouse Manager,,"Logistics, Operations, Warehouse Management, Auditing, Inward, Stock Audit,...",Mumbai,15to25,4425
156,10-14 yrs,- Maximizing sales performance through delivering an exceptional customer experience and by taking ...,Sales Manager - Flexible Packaging Industry,,"Marketing Strategy, Sales Management, Sales Forecasting, Territory Growth...",Delhi NCR,25to50,718
157,2-4 yrs,,Business Analyst,,"financial analysis, month end reporting, market research, cost control...",Gurgaon,3to6,1129
158,12-17 yrs,12+ years relevant work experience;  some of that experience in management consulting / advisory ...,Senior Analyst - Integrated Markets Planning (assistant Director Grade,,"Project Management, Strategic Planning, Management Consulting...","Bengaluru, Kochi, Trivandrum, Gurgaon",25to50,1305
159,10-12 yrs,- Prior experience in Portfolio Analysis and Monitoring in driving strategic initiatives would be ...,Risk Analytics Professional - Business Intelligence Team - Wholesale,Analytics,"Risk Management, SAS SQL, Credit Risk, Wholesale Banking, Risk Analytics...",Bengaluru,15to25,2837
160,7-12 yrs,,"Manager Business Development - Land Acquisitions - Real Estate Group,",,"Business Development Management, Presentable, Analytical Skills...",Mumbai,10to15,929
161,1-2 yrs,Experience in reading / translating the lease documents (using online tools) 3;Skills and Competencies ...,Translation Executive,,Real Estate,Chennai,3to6,3126
162,8-12 yrs,The position has design responsibility to ensure that product programs achieve all design objectives ...,Lead System Designer - IT Products,,"Design Analysis, Customer Satisfaction, Design Development...",Bengaluru,15to25,4344
163,1-5 yrs,"- Social networking experience and social analytics tools knowledge;- Fluency in English, Positive ...",Digital Marketing Manager Seo/ppc/google Adwords Specialist,analytics,"SEO, Digital Marketing, Google AdWords, Keyword Research, PPC...",Bengaluru(Sector 1 HSR Layout+7),0to3,2051
164,5-10 yrs,"Minimum 5 years total work experience in media business consulting, strategic planning role, ...",Group Head,,"Strategic Planning, Business Consulting, Data Analysis, Media Planning...",Bengaluru,10to15,1374
165,5-10 yrs,- Experience and success in recruiting and retaining a high performance sales team and a demonstrated ...,General Manager - Sales & Marketing - Building Material,,"Sales Management, Marketing, IIM, Building Material, Project Management...",Hyderabad,15to25,3109
166,1-4 yrs,"- Knowledge of omni-channel/marketing automation tools like Adobe Campaign, Responsys, Webengage, ...",Manager - Retention/digital Marketing,,"Marketing Automation, Digital Marketing, Email Marketing...",Delhi NCR,10to15,3275
167,15-20 yrs,- Outstanding verbal and written communication skills & must have excellent project management ...,Principal Architect - AI Analytics Technology,Analytics,"Project Management, C, IT Strategy, Technology Solutions, Client Engagement...","Bengaluru, Mumbai",25to50,1578
168,5-9 yrs,,Lead Data Analytics ( Female ) - GGN ( Afternoon Shift with CAB ),Analytics,"Logistic Regression, Linear Regression, SAS, Factor Analysis...",Delhi NCR,15to25,1439
169,2-6 yrs,Bring your significant experience in applying relevant technical knowledge in at least one of the ...,Consultant - Risk - Internal Audit,,"internal audit, ifc, enterprise risk management, auditing, risk compliance,...",Kolkata,6to10,1305
170,7-12 yrs,"Teach for India is a nationwide movement of outstanding college graduates, working professionals and ...",Senior Manager Fundraising,,"fund raising, ngo, financial forecasting, donor acquisition...",Mumbai,10to15,3699
171,0-2 yrs,,Backend Vacancy for Bank,,"back office processing, back office executive, back office assistant...","Delhi NCR, Gurgaon, Noida",0to3,746
172,5-10 yrs,- Experience with machine learning algorithms and data mining techniques;- Experience with statistical ...,Data Science Engineer - Machine Learning,,"Hadoop, Hive, Data Science, Spark, Machine Learning, R, Python, Big Data...",Chennai,15to25,3594
173,5-7 yrs,At least 5-7 yr experience in Analytics;- Preferred candidates from banking domain or have undertaken or ...,Manager - Sas/python/r - KPO,Analytics,"SAS SQL, Machine Learning, R, Data Extraction, Excel, Python...",Bengaluru,10to15,1969
174,3-8 yrs,"Our deep understanding of business needs, and of the talent required to meet those needs, provides us ...",Obiee Developer,,"obiee, oracle business intelligence, obi, oracle bi, Obiee Developer...","Bengaluru, Chennai, Hyderabad",6to10,2031
175,8-11 yrs,High Potential candidates with Experience of development project as well as support projects;Must be ...,"Project Manager,",,"C#, Azure, TFS, Project Management, People Management, Go Getter...",Bengaluru(Anepalya),10to15,976
176,1-3 yrs,1+ years of hands-on experience in the below functional skills: ...,Data Science Analyst,analytics,"data science, data analytics, statistical analysis, tableau, data modeling,...",Gurgaon,10to15,1769
177,5-10 yrs,ICWA Qualified with 5 years experience ;Preferably looking for Candidates with strong exposure in ...,Amazing Job Opening With Auto OEM Company For Costing role - Hansalpur,,"inventory valuation, product costing, cost audit, mis reporting, auditing...",Ahmedabad,15to25,358
178,10-20 yrs, Minimum experience on site  3 years ;Experience in preparation of bids for all types of ...,Opening for Planning and Estimation Engineer for Uganda,,"tender, site, biil, boq, quantity surveying, rate analysis, quantities...",Uganda,10to15,4509
179,3-8 yrs,"- 3+ years professional software development experience in C++;- Experience with large-scale, multi ...",Software Developer - C++/algorithm/solution Design,Analytics,"C++, Algorithm, Solution Design, technical design, software development...",Noida,25to50,1171
180,10-20 yrs,""" Manage and oversee the daily operations of the finance/accounting department, Candidate must have EPC ...",Manager - Finance & Accounts,,"Financial Accounting, Finance, Accounts Payable, General Ledger, Auditing...","Africa, Lubumbashi",15to25,2386
181,9-14 yrs,With a minimum of 4 full-life cycle software implementation projects;The Salesforce Architect is ...,Salesforce Architect,,"Impact Analysis, Data Modeling, Business Analysis, Business Solutions...",Delhi NCR(Gwal Pahari),25to50,4773
182,10-15 yrs,"Drive innovation through identifying breakthrough opportunities,  Have solid ecommerce and online ...",VP Global e Commerce,analytics,"online marketing, marketing campaigns, promotional campaigns, web analytics...",Bengaluru,25to50,3458
183,1-5 yrs,Experience of around 1-3 years;Confident; sound communication skills; ability to coordinate ...,Required Paralegal Patent Secretary at Mumbai.,,"para legal, Paralegal, trademark, patent, intellectual property, ip, IPR...",Mumbai(Lower Parel),3to6,2949
184,5-10 yrs,- Experience working in a team of analysts with a common goal and will have a strong understanding of ...,Manager - MIS Lead - Analytics - Credit Cards/personal Loans Vertical,Analytics,"Banking, Credit Cards, Personal Loans, MIS Development, Senior Management",Delhi NCR,6to10,1969
185,4-9 yrs,,Opening For Financial Analysis-pricing,,"financial analysis, financial planning, financial modelling, pricing...",Mumbai,10to15,3238
186,4-9 yrs,"- Hands on experience in Data modelling and data analytics tools like, SQL, Tableau and R or Python and ...",Manager/senior Manager- Analytics- Life & Annuities- Insurance Domain,Analytics,"Text Mining, R, Machine Learning, SAS, Logistic Regression, SQL...",Gurgaon,10to15,1989
187,7-12 yrs,,Business Analyst -BI & DW,Analytics,"SQL, ETL, DW, Bi, PLSQL, Data Migration, Analytics, Business Analysis...",Hyderabad,6to10,4370
188,5-10 yrs,- Experience in machine learning/ deep learning/ text mining / computer vision is ...,Machine Learning Researcher - KPO,analytics,"deep learning, machine learning, text mining, computer vision, analytics...","Delhi NCR, Bengaluru, Hyderabad",15to25,3612
189,7-12 yrs,- Desired 2-4 years of relevant experience in retail/media domain;- Must have 2-4 years of hands on ...,Senior Manager - Retail Analytics - Analytics Firm,Analytics,"SAS, Logistic Regression, Chaid, R, Data Analytics, Anova, Excel...","Delhi NCR, Bengaluru",25to50,1969
190,1-4 yrs,Excellent opportunity for you to work with established company.   *Make telephone calls to ...,Mega Walkin Drive for Telecallers/voice Process/female Staff- Noida 63,,"Voice Process, call center, bpo, Tele Caller, tele sales, outbound sales...",Noida(Sector-63 Noida),0to3,3483
191,2-7 yrs,"- An advanced degree in Math, Computer Science, Statistics, Physics, or a related field (high GPAs ...",Quant Trader - BFSI,,"Quant Trader, Trader, trading, research, Data Structures, Algorithms...",Delhi NCR,10to15,3319
192,7-10 yrs,Domain : Experience of working in fast-paced IT consulting companies on emerging technologies and able ...,Project Manager - Enterprise Solutions & Mobility,,"Cloud Computing, User Xperience, Artificial Intelligence, AI, ChatBots...",Hyderabad,15to25,3968
193,6-10 yrs,"Experience and proficiency in the use of devices such as data loggers, light meters, utility meters, ...",Looking for Energy Manager - Pharma API Company - Bidar Location,,"Ahu, Maintenance, HVAC, Chillers, Technical Support, Energy Audit...",Bidar,6to10,599
194,3-7 yrs,"Experience and knowledge in services domains such as business process outsourcing systems, ...",Data Scientist,Analytics,"R, C, Machine Learning, Data Analytics, Python, Deep Learning...",Bengaluru,6to10,4716
195,10-12 yrs,Greetings from Experis IT !!    We are hiring for the role of  Senior Manager ...,Senior Manager -business Intelligence & Supply Chain,,"Supply Chain, Senior Management, Business Intelligence",Delhi NCR,6to10,1435
196,4-6 yrs,- The candidate should have expertise to use and setup various analytical online tools that are used ...,Lead - Digital Analytics - Auto,Analytics,"adobe analytics, digital marketing, digital analytics, web analytics...",Gurgaon,6to10,1349
197,8-13 yrs,Understands the needs of the organization in terms of achieving maximum organizational performance and ...,HR Business Partner,,"senior hr, human resource management, workers compensation...",Bengaluru,10to15,4199
198,12-15 yrs,Contributes to various intellectual properties development and thought leadership initiatives of the ...,Cloud Solutions - Architect Advanced,Analytics,"Linux, Perl, Networking, Python, VMware, Testing tools, Ruby, Analytics...",Pune,10to15,2841
199,2-7 yrs,"At Fingent, we believe that business software should be beautiful, usable and ...",Project Management Office,,"Verbal Communication, Communication Skills, Software Quality...",Kochi,3to6,1508
200,2-6 yrs,"- Strong experience in translating business requirements into prototype design, addressing the - HOW- of ...",Research Engineer - Machine Learning/artificial Intelligence,,"Deep Learning, Natural Language Processing, Machine Learning, NLP...",Gurgaon,10to15,4061
201,12-20 yrs,"Produce all required documents for CAST Analytics adoption for the customer, by adapting or reusing ...",Principal Consultant - ADM Process,Analytics,"project management, scrum, process consulting, cmmi, software development...",Bengaluru,15to25,753
202,3-6 yrs,"Experience in building test lab setups;Experience in preparing test plans, test case development, test ...","Senior QA with Linux Networking @ Exfo, Pune - Magarpatta",,"manual testing, qa, quality analyst, networking, linux",Pune,10to15,1299
203,1-3 yrs,Expert in Excel. Insert customer and account data by inputting text based and numerical information ...,Data Analyst,,"Access, Excel, Data Analysis, Report Generation, Data Integrity...","Delhi NCR, Kanpur",3to6,4791
204,1-6 yrs,"- Post-Graduate degree in statistics, finance, mathematics, engineering (Computer Science preferred) or ...",Senior Analyst/associate - Strategy & Algorithm - Quantitative,,".net, c#, c#.net, quantitative analysis, investment management, analyst...","Delhi NCR, Gurgaon",15to25,1970
205,0-2 yrs,,Hiring for International BPO for Technical Support,,"Inbound, Outbound, International BPO, Chat Process, Customer Care, customer...","Chandigarh, Mohali, Panchkula, Delhi NCR, Gurgaon, Noida",0to3,376
206,0-1 yrs,,Immediate Job Openings for Freshers / Medical Billing Associate,,"typing speed, analytical skills, Communication Skills",Hyderabad(Begumpet),0to3,4610
207,1-6 yrs,The group currently seeks a person who has the knowledge and skill in financial securities to carry out ...,Portfolio Analytics - Valuation/ Pricing,Analytics,"Hedge Funds, Finance, Fund Administration, Derivatives, Risk Management...",Mumbai,3to6,2831
208,4-8 yrs,,Programmer Analyst - Drupal,,"Lead Drupal Develoer, Drupal 7, Drupal 8, Technical Lead...",Bengaluru,15to25,4936
209,5-10 yrs,Required Qualifications:5+ years of relevant experience working on Big Data/related tech ...,"Senior Analytics Analyst (bigdata, Spark) - Gurgaon, HR",Analytics,"Senior Analytics Analyst BigData, Spark - Gurgaon, HR",Gurgaon,15to25,3114
210,3-4 yrs,"- Content creation experience including case studies, knowledge base, Client FAQs and video storytelling ...",Manager - Customer Experience - SaaS,,"Customer Marketing, Content Creation, Customer Experience...",Pune,10to15,4799
211,2-7 yrs,Experience with app install campaigns for Google Play and/or App Store would be a big plus;Should have ...,SEM Manager,analytics,"digital marketing, sem, web analytics, marketing campaigns, swot analysis...",Delhi NCR,6to10,3470
212,2-7 yrs,Layout pages as per clients requirement and specification within the stipulated time;* Very good command ...,Walk-ins for Indesign Operator,,"XML, HTML, ePub, CSS / XSLT, Team Leader",Delhi,0to3,416
213,5-8 yrs,,SAM Technical Analyst,,"Sales, Strategic Planning, Account Management, Install Base...",Bengaluru,6to10,2957
214,1-2 yrs,"Should be able to create job postings that are articulate, professional and attention-grabbing to ...",Urgent Requirement For Corporate Recruiter For 2coms Consulting PVT LT,,"Recruitment, Screening, Interviewing, Hiring, HR, Benefits, Salary...",Bengaluru(Shivaji Nagar),0to3,7
215,1-5 yrs,,Content Writer cum SEO Analyst,,"search engine optimization analysis, seo writing, seo analyst, seo expert...",Pune(NIBM),0to3,2544
216,4-9 yrs,Experience: 4-9 yrs;Candidates preferred from Retail/FMCG/Airline ...,Senior Manager Finance and Analysis,,"Finance, Financial Management, Budgeting, forecasting, financial reporting,...",Navi Mumbai,6to10,1533
217,10-15 yrs,- Develop a reliable cash flow projection process and reporting mechanism that includes minimum cash ...,Chief Financial Officer - Internet/online,,"Finance, Financial Reporting, Financial Analysis, Forecasting...",Delhi NCR,15to25,2320
218,2-6 yrs,"  2-4 years in a strategy/ consulting role (preferably), or in the industry along the areas of ...",Consultant - Strategy- Big Data & Analytics Firm - Gurgaon,Analytics,"Big Data Analytics, Consulting, strategy, corporate strategy...",Gurgaon,15to25,1993
219,8-12 yrs,- 8+ years of Software Development experience and development life cycle;- Good understanding of major ...,Software Architect - Distributed Systems,,"software development, software design, design patterns, product management,...",Bengaluru,15to25,1624
220,0-5 yrs,"""We are looking for a young and entrepreneurial individual, who has good analytical skills and who is ...",Strategy Analyst/executive Assistant to CEO,,"Execution, Analytical Skills, Strategy Analyst","Delhi NCR, Gurgaon",10to15,227
221,4-6 yrs,"Experience in developing integrated solutions involving process, data, and technology;6 years business ...",Solution Analyst (osc) - OSI PI / RT Duet,,"Project Management, Technical Architecture, SCOPE, Plant Maintenance...",Bengaluru,15to25,864
222,4-8 yrs,,Immediate Requirement for Tableau @ Noida,,"SQL Database, Tableau, Big Data, SAP BO, Power Bi, PLSQL",Noida,0to3,3706
223,3-8 yrs,- Prior experience with start-ups highly desirable;Experience Required: 2-4 years of Marketing/Growth ...,Growth Hacker - Product Firm,Analytics,"Google AdWords, Marketing Budget, Google Analytics, Display Advertising...",Mumbai,15to25,3319
224,6-10 yrs,Good analytics skills /problem solving skills;Should have extensive experience in testing Android apps ...,Test Lead - Black Box Testing,analytics,"Test Strategy, Test Reporting, Test Cases, Test Case Execution, Test Lead...","Navi Mumbai, Hyderabad",10to15,3594
225,0-0 yrs,"Cyber Security is the most sought-after domain, and NASSCOM projects a requirement of over 1 million ...",Cyber Security Analyst - Training cum Placement,,"cyber security, technical support, Network Security, IT Security...","Chennai, Bengaluru",0to3,2264
226,3-8 yrs,Should be comfortable functioning in a broadly positioned and highly diverse consulting firm;Should ...,Business Strategy Digital,,"business strategy, Growth Strategy, Profit Optimization, Operating Model...","Bengaluru, Gurgaon",15to25,193
227,4-9 yrs,"Experience in making quick ,  high quality decisions on complex case scenarios;4 year experience in ...",MIS Analyst,,"MIS, HTML, XML, VB, Macros, Information security, Analytical, MS SQL...",Chennai,6to10,910
228,8-13 yrs,"Minimum 8 years of experience in a global financial services company;Prior accounting/audit, management ...","AVP- FPA with Leading MNC Financial Service, Mumbai",,"management accounting, fpa, management reporting, performance management...",Mumbai,15to25,3615
229,2-6 yrs,,"Required Recruitment Specialist @ Alexis Hospital, Nagpur",,"Recruiter, Recruitment, HR, Human resource, Talent Acquisition",Nagpur,3to6,4931
230,3-7 yrs,Candidates with experience in digital marketing agencies or high paced ecommerce companies is a great ...,Online Campaign Manager | Global Ed-tech Startup | Bangalore,,"Social Media Marketing, Lead Generation, Consumer insights...",Bengaluru,10to15,4577
231,10-15 yrs,"11)         Identify and deploy the technical skill sets, resource levels and systems to deliver ...",Asst. General Manager with a Reputed Waste Management Company @ Mumbai,,"Maintenance Activities, General Management, Operations, Preventive...",Mumbai,15to25,4633
232,1-2 yrs,,Personal Assistant,ANALYTICS,"Personal Assistance, secretary, executive assistant, personal assistant...",Chennai(GST Road),0to3,770
233,5-10 yrs,- A good understanding of the software development concepts;- Experience with test planning in an ...,Senior Quality Analyst - Test Automation,,"istqb, automation testing, test planning, cste, sdlc, quality analysis...",Pune,15to25,4389
234,2-7 yrs,"*	Must be a critical thinker with an aptitude for working through ambiguous technical problems;*	Should ...",ERP Implementation Executive,,"ERP Implementation, Gap Analysis, Business Process, ERP System...",Mumbai,0to3,4000
235,2-5 yrs,,Python Scripting,,"Python, Data mining, Machine learning, Business process, Outsourcing...",Bengaluru,6to10,190
236,3-8 yrs,,Production Engg. (plastic Extrusion Only) in Gurgaon,,"Production Engineering, Plastic Extrusion, Injection Moulding...",Gurgaon,0to3,3050
237,6-10 yrs,Qualified Chartered Accountant with 1-3 yrs of Post qualification ...,Manager - Internal Audit - CA - Big4,,"Accounting, Internal Audit, Auditing, Enterprise Risk Management, Big4...",Pune,10to15,1793
238,7-12 yrs,Manage delivery and execution of analytics services for a top tier clients in FPA domain; Experience: ...,Hiring for Financial Planing and Analysis Manager,analytics,"finance, financial planning, financial analysis, forecasting, budgeting...",Delhi NCR,15to25,4893
239,12-16 yrs,Good understanding of common design patterns and architecture principles to design reliable and Scalable ...,Cybage Software-hiring Python Architect,,"django, python, javascript, mongodb, nosql, software development, linux...",Pune,15to25,1076
240,1-6 yrs,Experience in multi-unit retail/restaurant concepts preferred;6+ years experience as Manager or Director ...,Financial Planning & Analyst,,"BPO, Accounting, Mba Finance, Financial Reporting, Financial Planning...",Hyderabad,6to10,4893
241,0-5 yrs,,Biotechnology Walk In Interview,,"Secondary Research, Company Profiling, Market Sizing, Primary...",Pune,0to3,4141
242,2-5 yrs,,Paid Advertising Specialist,analytics,"ppc, google adwords, facebook, google analytics, linkedin...","Noida, Noida/Greater Noida",6to10,4252
243,6-11 yrs,"Deep experience in core financial analytics on Risk, Collections, and Marketing is a plus;Bachelors in ...",Lead Business Analyst - Fintech,analytics,"business analysis, business analytics, collections strategy...",Bengaluru,10to15,1548
244,2-6 yrs,  Payroll Accounting and Analytics.  End to end Payroll processing activity ...,Assistant Manager Payroll,Analytics,"Auditing, Accounting, Payroll Processing, Statutory Compliance...",Bengaluru,6to10,330
245,6-8 yrs,,"Business Analyst,,testing Applications,software Testing Life Cycle",,"business analyst, team leader it, System Engineer, software functionality...",Delhi NCR,3to6,1525
246,7-12 yrs,- Experience in managing fraud analytics with knowledge across customer lifecycle is must;- Candidate ...,Associate Vice President - Fraud Analytics - SAS - Bank,Analytics,"Fraud Analytics, People Management Skills, Team Leading, Problem Solving...",Delhi NCR,25to50,1988
247,1-6 yrs,,Hiring for Digital Marketing Manager (google Adwords),analytics,"google analytics, ppc, marketing management, google adwords, adwords...",Pune(Koregaon Park),10to15,2461
248,0-5 yrs,"Aptara copy editors rigorously follow a publishers house style sheet, or optionally apply copy editing ...",Copy Editor ( Scientific Journals / Books ),,"content writing, editing, content editing, content development, editing and...",Noida,0to3,417
249,8-12 yrs,- Team player and good at stakeholder management;- Any certification in Analytics will be an added ...,Program Manager - Analytics,Analytics,"Project Management, Program Management, Predictive Analytics...",Gurgaon,25to50,4470
250,4-6 yrs,"- Candidate should be strong in Scripting, and should have worked on Data driven and key word driven ...",Sr SAP Financial Test Engineer - Automation Testing - Uft/qtp,,"Automation Testing, QTP, Test Scripts, Test Engineering...",Bengaluru,15to25,3536
251,6-11 yrs,"- Incumbent must have Operational understanding includes classical regression, statistical methods like ...",Head - Data Science & Analytics - Financial Services,Analytics,"Data Science, Analytics, Data Mining, Machine Learning, Factor Analysis...",Noida,15to25,1210
252,5-10 yrs,"- Strong SQL skills, including query optimization are required;- Experience with recommendation systems ...",Big Data Engineer - Java/python/hadoop,,"Hadoop, Hive, Java, Spark, Cassandra, SQL, SCALA, Redis, Elastic Search...","EU, Ukraine",10to15,3713
253,5-10 yrs,One should have if IIMs then 2+ years of experience into Modeling with SAS experience;- Credit risk ...,Senior Manager - Predictive Modeling - SAS - Banking Domain,,"SAS, Logistic Regression, Predictive Modeling, Model Validation, Lgd...","Delhi NCR, Gurgaon",15to25,3319
254,0-2 yrs,,"Part Time/home Based work for Students,fresher an earn up to 7000/week",,"data entry operation, typing, excel, notepad, freelancing, content writing,...","Mumbai, Hyderabad, Pune, Kolkata, Agra, Amravati, Bhavnagar, Bhubaneshwar, Dadra and Nagar Haveli",0to3,1456
255,1-3 yrs,Must possess extensive primary and secondary research skills to generate highly readable and ...,Associate Analyst / Analyst / Senior Analyst,,"secondary research, market research, report writing, primary research...",Bengaluru,3to6,438
256,0-2 yrs,,QC Manager - Gujarat - Sarigam - Bhilad,,"qc, quality control chemical, qc chemical, quality assurance chemical...",Valsad,0to3,2804
257,1-4 yrs,"- At least 1 year of investment experience is required, preferably with knowledge of factor research ...",Junior Quantitative Analyst - Global Equity Beta Solutions,,"quantitative research, project management, quantitative analysis...",Bengaluru,15to25,4097
258,5-10 yrs,- Detailed understanding of local development control regulations & good network with architects ...,Technical Manager,,"valuation, finance, portfolio analysis, credit risk, financial modelling...",Mumbai,25to50,4347
259,0-4 yrs,,Technical Support Executive,,"technical support, tech support, technical support executive...",Hyderabad,0to3,2087
260,2-7 yrs,,Required Lease Abstraction Analyst 4 US World Class Process,,"Legal, Agreements, lease, abstraction, lease admin, lease abstraction...",Chennai,0to3,2001
261,7-12 yrs,- Desired 2-4 years of relevant experience in retail/media domain;- Must have 2-4 years of hands on ...,Senior Manager - Retail Analytics - Analytics Firm,Analytics,"SAS, Logistic Regression, Chaid, R, Data Analytics, Anova, Excel...","Delhi NCR, Bengaluru",25to50,1969
262,2-7 yrs,"2-9 years of experience in Inside Sales lead generation, cold calling and response management;- The ...",Lead Inside Sales Execcutive,,"Business Development, Sales Lead Generation, Cold Calling, Inside Sales...",Hyderabad,15to25,4382
263,0-2 yrs,"Institute for Personal Leadership (IPL), founded by Columbia Business School Professor Hitendra Wadhwa, ...",Analyst,,"Email Marketing, Lead Generation, Digital Marketing, Business Development...",Gurgaon(Cyber City),0to3,2203
264,2-5 yrs,"-	Refine processes and supply side tech workflows to increase efficiency and ensure a better experience ...",Category Manager - Home Improvement Services,,"Plumbing, Electricals, MEP, Service Delivery, Customer Experience, Category...",Hyderabad,15to25,1959
265,2-3 yrs,"2+ years ofrelevant experience in embedded programming, writing test routines, performing qualification ...",Quality Test Engineer,,"Quality Assurance, Test Engineering, Test Data, Quality Testing, Analytical...",Mumbai,3to6,2701
266,7-10 yrs,"- 7-10 years of experience Preferably in consumer facing application development, large scale enterprise ...",Product Manager,,"Product Manager, Product Management, application development, SDLC, feature...",Mumbai,15to25,734
267,0-5 yrs,,Data Entry/home Base Job/ Online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","Bahraich, Saharanpur, Bhubaneshwar, Nagpur, Jind, Karnal, Mathura, Alwar, Jamshedpur",3to6,1153
268,20-30 yrs,,Senior Delay Analyst / Forensic Planner,,"Delay Analysis, Forensic Planning, Claims, Risk Management, Arbitration...",Mumbai,15to25,2869
269,6-9 yrs,Experience managing integration projects with high volume data transfers;Excellent problem-solving ...,Senior SW Engineer - IT,,"SQL, Data Modeling, Data Integration, Supply Chain Planning...",Bengaluru,6to10,1173
270,9-14 yrs,Experience leading teams of size 5-15 members;Very good knowledge of statistical techniques such as ...,Assistant Vice President - Acquisition Strategy - Iim/isb/mdi/fms,analytics,"segmentation, correlation, banking, finance, analytics, clustering, ranking...","Delhi NCR, Gurgaon",15to25,1969
